涓撲笟,鎬у埆,姣忓懆瀛︿範鏃堕暱锛堝皬鏃讹級,涓婅鍑哄嫟鐜?鏈熶腑鑰冭瘯鍒嗘暟,浣滀笟瀹屾垚鐜?鏈熸湯鑰冭瘯鍒嗘暟,鎬у埆_缂栫爜,涓撲笟_缂栫爜,
鐢靛瓙鍟嗗姟,濂?26.05,0.98,92.99,0.94,93.54,0,3
璐㈠姟绠＄悊,鐢?5.59,0.8,80.72,0.94,70.49,1,2
宸ュ晢绠＄悊,鐢?18.69,0.99,99.28,0.84,88.99,1,0
宸ュ晢绠＄悊,濂?18.14,0.61,64.45,0.79,40.86,0,0
浜哄伐鏅鸿兘,鐢?32.93,0.64,82.34,0.76,75.62,1,1
宸ュ晢绠＄悊,濂?27.7,0.97,76.94,0.72,76.63,0,0
鐢靛瓙鍟嗗姟,濂?6.7,0.68,60.26,0.83,60.16,0,3
宸ュ晢绠＄悊,濂?10.43,0.74,90.12,0.72,71.89,0,0
璐㈠姟绠＄悊,鐢?7.52,0.8,66.07,0.76,63.35,1,2
浜哄伐鏅鸿兘,濂?11.87,0.88,56.45,0.94,49.83,0,1
浜哄伐鏅鸿兘,濂?33.57,0.92,100,0.86,82.89,0,1
璐㈠姟绠＄悊,鐢?20.59,0.67,72.95,0.85,60.12,1,2
璐㈠姟绠＄悊,鐢?11.82,0.64,62.95,0.86,73.85,1,2
澶ф暟鎹鐞?濂?5.92,0.98,63.33,0.72,48.26,0,4,
鐢靛瓙鍟嗗姟,鐢?28.04,0.81,52.1,0.74,57.65,1,3
宸ュ晢绠＄悊,濂?14.74,0.66,75.57,0.82,68.23,0,0
鐢靛瓙鍟嗗姟,濂?19.44,0.75,68.39,0.99,57.19,0,3
璐㈠姟绠＄悊,濂?9.66,0.64,62.43,0.9,51.3,0,2
澶ф暟鎹鐞?濂?23.24,0.94,74,0.75,79.26,0,4,
鐢靛瓙鍟嗗姟,濂?31.38,0.82,85.73,0.95,82.02,0,3
鐢靛瓙鍟嗗姟,濂?19.65,0.81,91.11,0.74,92.18,0,3
宸ュ晢绠＄悊,鐢?25.22,0.74,76.69,0.72,60.22,1,0
浜哄伐鏅鸿兘,鐢?23.58,0.62,77.06,0.82,69.18,1,1
澶ф暟鎹鐞?濂?20.95,0.76,76.3,0.93,70.42,0,4,
澶ф暟鎹鐞?鐢?22.71,0.89,53.19,0.73,62.14,1,4,
澶ф暟鎹鐞?濂?17.46,0.68,49.92,0.98,48.44,0,4,
鐢靛瓙鍟嗗姟,鐢?24.15,0.99,53.86,0.88,62.69,1,3
浜哄伐鏅鸿兘,濂?18.35,0.62,68.1,0.79,70.81,0,1
澶ф暟鎹鐞?鐢?21.81,0.81,57.24,0.96,63.96,1,4,
鐢靛瓙鍟嗗姟,濂?13.2,0.76,74.26,0.86,58.77,0,3
澶ф暟鎹鐞?濂?21.64,0.6,82.96,0.89,90.92,0,4,
鐢靛瓙鍟嗗姟,濂?18.73,0.85,69.68,0.87,70.41,0,3
鐢靛瓙鍟嗗姟,濂?7.4,0.92,62.28,0.95,68.53,0,3
鐢靛瓙鍟嗗姟,鐢?22.68,0.68,76.56,0.82,77.97,1,3
璐㈠姟绠＄悊,鐢?29.12,0.66,92.69,0.71,80.9,1,2
浜哄伐鏅鸿兘,鐢?6.71,0.68,74.19,0.82,55.49,1,1
鐢靛瓙鍟嗗姟,鐢?22.29,0.72,34.09,0.87,53.5,1,3
澶ф暟鎹鐞?濂?12.48,0.66,88.46,0.85,66.86,0,4,
浜哄伐鏅鸿兘,濂?16.64,0.99,100,0.97,90.75,0,1
浜哄伐鏅鸿兘,鐢?11.7,0.61,55.78,0.8,53.5,1,1
澶ф暟鎹鐞?鐢?6.08,0.87,84.91,0.75,79.5,1,4,
宸ュ晢绠＄悊,鐢?19.97,0.69,92.49,0.99,72.32,1,0
宸ュ晢绠＄悊,濂?25.21,0.85,62.27,0.79,73.69,0,0
浜哄伐鏅鸿兘,鐢?18.67,0.9,83.17,0.96,83.78,1,1
鐢靛瓙鍟嗗姟,鐢?29.27,0.89,72.8,0.84,75.29,1,3
璐㈠姟绠＄悊,濂?15.77,0.98,79.84,0.75,79.98,0,2
澶ф暟鎹鐞?濂?25.06,0.94,72.29,1,80.8,0,4,
璐㈠姟绠＄悊,濂?27.18,0.72,88.16,0.88,86.58,0,2
宸ュ晢绠＄悊,鐢?13.84,0.73,65.61,0.73,66.89,1,0
浜哄伐鏅鸿兘,鐢?15.31,0.88,42.69,0.79,54.56,1,1
浜哄伐鏅鸿兘,濂?25.23,0.74,72.59,0.89,68.77,0,1
浜哄伐鏅鸿兘,濂?22.65,0.71,66.94,0.75,61.96,0,1
宸ュ晢绠＄悊,濂?5.0,0.65,79.13,0.87,62.85,0,0
宸ュ晢绠＄悊,鐢?14.12,0.64,76.35,0.84,74.55,1,0
璐㈠姟绠＄悊,濂?16.83,0.83,51.72,0.87,65.04,0,2
璐㈠姟绠＄悊,濂?17.74,0.83,75.13,0.88,80.38,0,2
鐢靛瓙鍟嗗姟,濂?15.42,0.88,73.3,0.92,80.71,0,3
鐢靛瓙鍟嗗姟,濂?19.23,0.95,87.81,0.7,76.61,0,3
澶ф暟鎹鐞?濂?14.96,0.9,85.83,0.74,91.75,0,4,
宸ュ晢绠＄悊,鐢?27.29,0.8,98.14,0.86,86.87,1,0
璐㈠姟绠＄悊,鐢?13.49,0.73,88.08,0.85,70.26,1,2
鐢靛瓙鍟嗗姟,鐢?13.85,0.63,47.56,0.93,57.08,1,3
宸ュ晢绠＄悊,濂?22.43,0.84,81.71,0.91,82.01,0,0
璐㈠姟绠＄悊,鐢?30.52,0.86,79.51,0.9,76.22,1,2
璐㈠姟绠＄悊,鐢?13.59,0.83,100,0.75,79.21,1,2
鐢靛瓙鍟嗗姟,濂?19.87,0.68,97.87,0.83,78.01,0,3
澶ф暟鎹鐞?鐢?22.42,0.61,54.63,1,63.81,1,4,
浜哄伐鏅鸿兘,濂?27.78,0.78,81.28,0.78,83.71,0,1
鐢靛瓙鍟嗗姟,鐢?32.62,0.85,87.79,0.84,83.72,1,3
浜哄伐鏅鸿兘,濂?25.4,0.86,69.1,0.88,77.69,0,1
璐㈠姟绠＄悊,濂?33.5,0.71,69.22,0.91,66.56,0,2
浜哄伐鏅鸿兘,鐢?21.97,0.67,82.09,0.71,79.75,1,1
鐢靛瓙鍟嗗姟,鐢?13.29,0.6,50.49,1,51.98,1,3
浜哄伐鏅鸿兘,鐢?16.19,0.94,75.05,0.92,69.62,1,1
璐㈠姟绠＄悊,鐢?15.23,0.71,78.62,0.9,74.45,1,2
澶ф暟鎹鐞?濂?29.84,0.97,74.34,0.88,83.04,0,4,
浜哄伐鏅鸿兘,濂?21.1,0.87,87.23,0.93,80.22,0,1
鐢靛瓙鍟嗗姟,濂?13.37,0.88,94.9,0.84,72.23,0,3
澶ф暟鎹鐞?濂?28.13,0.73,47.74,0.93,59.34,0,4,
鐢靛瓙鍟嗗姟,鐢?20.98,0.78,94.9,0.87,83.35,1,3
浜哄伐鏅鸿兘,鐢?40.0,0.87,86.16,0.81,91.24,1,1
鐢靛瓙鍟嗗姟,鐢?30.46,0.76,57.54,0.9,63.2,1,3
璐㈠姟绠＄悊,鐢?15.34,0.8,81.37,0.9,68.47,1,2
澶ф暟鎹鐞?鐢?13.44,0.76,74.38,0.92,71.43,1,4,
浜哄伐鏅鸿兘,鐢?26.4,0.74,70.41,0.82,71.19,1,1
璐㈠姟绠＄悊,濂?23.28,0.85,59.73,0.9,68.95,0,2
鐢靛瓙鍟嗗姟,鐢?10.65,0.7,68.91,0.96,43.91,1,3
宸ュ晢绠＄悊,濂?38.28,0.68,92.23,0.97,88.25,0,0
璐㈠姟绠＄悊,濂?17.23,0.65,78.49,0.71,75.26,0,2
浜哄伐鏅鸿兘,濂?17.05,0.61,82.03,0.85,66.47,0,1
浜哄伐鏅鸿兘,濂?8.25,0.82,65.45,0.8,65.61,0,1
澶ф暟鎹鐞?鐢?5.0,0.71,53.37,1,43.31,1,4,
宸ュ晢绠＄悊,鐢?21.55,0.74,78.93,0.71,59.83,1,0
鐢靛瓙鍟嗗姟,鐢?34.3,0.93,73.83,0.81,82.94,1,3
璐㈠姟绠＄悊,濂?30.04,0.74,97.43,0.99,89.31,0,2
鐢靛瓙鍟嗗姟,濂?21.28,0.86,76.55,0.89,72.62,0,3
鐢靛瓙鍟嗗姟,濂?20.64,0.65,66.33,0.7,70.45,0,3
宸ュ晢绠＄悊,濂?18.43,0.61,73.17,0.74,63.38,0,0
澶ф暟鎹鐞?濂?21.84,0.63,69.71,0.97,64.92,0,4,
浜哄伐鏅鸿兘,濂?25.56,0.82,51.84,0.78,57.11,0,1
浜哄伐鏅鸿兘,濂?20.32,0.86,45.88,0.94,52.55,0,1
宸ュ晢绠＄悊,濂?16.64,0.84,71.89,0.93,74.7,0,0
宸ュ晢绠＄悊,鐢?28.16,0.68,72.67,0.88,71.62,1,0
澶ф暟鎹鐞?濂?5.8,0.97,50.51,0.98,68.1,0,4,
宸ュ晢绠＄悊,鐢?26.85,0.7,83.47,0.82,58.47,1,0
浜哄伐鏅鸿兘,鐢?5.0,0.85,68.36,0.71,68.88,1,1
澶ф暟鎹鐞?鐢?37.43,0.71,67.6,0.92,79.11,1,4,
浜哄伐鏅鸿兘,濂?16.02,0.72,100,0.86,80.84,0,1
澶ф暟鎹鐞?濂?26.62,0.8,74.09,0.83,65.3,0,4,
浜哄伐鏅鸿兘,鐢?10.94,0.64,50.37,0.83,37.97,1,1
浜哄伐鏅鸿兘,鐢?19.87,0.95,69.38,0.9,78.36,1,1
璐㈠姟绠＄悊,鐢?18.45,0.88,63.71,0.98,71.05,1,2
鐢靛瓙鍟嗗姟,濂?15.0,0.7,100,0.85,82.67,0,3
宸ュ晢绠＄悊,鐢?17.36,0.69,63.61,0.83,62.34,1,0
澶ф暟鎹鐞?濂?23.59,0.75,69.58,0.82,76.68,0,4,
宸ュ晢绠＄悊,鐢?5.0,0.8,44.74,0.73,42.15,1,0
宸ュ晢绠＄悊,濂?22.71,0.74,40.64,0.95,54.42,0,0
澶ф暟鎹鐞?濂?25.19,0.92,61.74,0.73,66.9,0,4,
宸ュ晢绠＄悊,濂?17.09,0.98,64.95,0.75,65.24,0,0
宸ュ晢绠＄悊,鐢?12.32,0.62,94.14,0.99,89.09,1,0
璐㈠姟绠＄悊,鐢?22.41,0.68,93.13,0.77,69.76,1,2
浜哄伐鏅鸿兘,鐢?11.08,0.69,91.89,0.8,66.89,1,1
璐㈠姟绠＄悊,鐢?33.91,0.76,83.52,0.96,74.91,1,2
鐢靛瓙鍟嗗姟,濂?20.09,0.74,87.92,0.84,83.25,0,3
宸ュ晢绠＄悊,濂?11.71,0.61,88.67,0.95,72.69,0,0
璐㈠姟绠＄悊,鐢?5.0,0.85,76.29,0.99,52.98,1,2
浜哄伐鏅鸿兘,鐢?23.23,0.85,58.01,0.81,66.28,1,1
璐㈠姟绠＄悊,濂?16.35,0.69,84.34,0.81,70.21,0,2
澶ф暟鎹鐞?濂?26.63,0.81,74.07,0.78,78.33,0,4,
宸ュ晢绠＄悊,鐢?24.26,0.84,92.27,0.79,88.69,1,0
宸ュ晢绠＄悊,鐢?33.42,0.73,100,0.94,100,1,0
澶ф暟鎹鐞?鐢?24.72,0.77,71.18,0.91,64.3,1,4,
浜哄伐鏅鸿兘,鐢?32.54,0.82,80.68,0.88,69.49,1,1
浜哄伐鏅鸿兘,鐢?11.25,0.7,47.11,0.94,58.87,1,1
浜哄伐鏅鸿兘,濂?12.77,0.87,80.36,0.86,81.07,0,1
宸ュ晢绠＄悊,濂?24.11,0.7,63.12,0.9,57.9,0,0
璐㈠姟绠＄悊,濂?33.42,0.85,55.76,0.82,61.18,0,2
澶ф暟鎹鐞?濂?25.01,0.72,73.01,0.99,77.26,0,4,
澶ф暟鎹鐞?濂?30.13,0.92,88.3,0.93,98.91,0,4,
璐㈠姟绠＄悊,鐢?15.65,0.65,89.47,0.73,65.87,1,2
浜哄伐鏅鸿兘,濂?18.43,0.85,70.38,0.97,72.55,0,1
鐢靛瓙鍟嗗姟,濂?14.37,0.79,79.32,0.83,54.93,0,3
澶ф暟鎹鐞?鐢?14.99,0.67,50.21,0.9,54.56,1,4,
鐢靛瓙鍟嗗姟,濂?33.04,0.68,28.97,0.92,53.97,0,3
宸ュ晢绠＄悊,鐢?10.38,0.68,54.33,0.88,68.94,1,0
鐢靛瓙鍟嗗姟,鐢?15.08,0.74,49.65,0.74,48.58,1,3
璐㈠姟绠＄悊,濂?16.18,0.97,85.74,0.96,85.67,0,2
璐㈠姟绠＄悊,濂?23.06,0.88,89.28,0.76,74.97,0,2
璐㈠姟绠＄悊,鐢?20.87,0.9,69.53,0.98,74.14,1,2
璐㈠姟绠＄悊,濂?18.13,0.94,63.18,0.79,83.59,0,2
鐢靛瓙鍟嗗姟,濂?25.89,0.67,50.74,0.76,73.15,0,3
澶ф暟鎹鐞?濂?18.45,0.86,94.58,0.86,98.28,0,4,
宸ュ晢绠＄悊,濂?15.85,0.8,75.48,0.92,74.77,0,0
璐㈠姟绠＄悊,鐢?19.38,0.71,53.63,0.76,56.84,1,2
璐㈠姟绠＄悊,濂?19.04,0.9,94.17,0.88,85.63,0,2
浜哄伐鏅鸿兘,濂?5.0,0.62,48.19,0.91,53.86,0,1
宸ュ晢绠＄悊,鐢?9.34,0.61,74.11,0.84,66.98,1,0
澶ф暟鎹鐞?濂?18.01,0.77,71.77,0.86,63.58,0,4,
浜哄伐鏅鸿兘,濂?18.81,0.83,87.59,0.94,73.67,0,1
浜哄伐鏅鸿兘,濂?21.55,0.77,67.01,0.76,62.53,0,1
浜哄伐鏅鸿兘,濂?17.78,1,96.31,0.86,93.8,0,1
浜哄伐鏅鸿兘,鐢?30.86,0.87,67.59,1,85.4,1,1
宸ュ晢绠＄悊,鐢?17.28,0.84,85.43,0.87,100,1,0
璐㈠姟绠＄悊,鐢?29.78,0.77,87.11,0.86,85.76,1,2
鐢靛瓙鍟嗗姟,濂?16.61,0.89,80.94,0.98,70.33,0,3
宸ュ晢绠＄悊,鐢?21.39,0.7,62.79,0.87,61.94,1,0
宸ュ晢绠＄悊,鐢?7.91,0.94,69.35,0.79,63.19,1,0
澶ф暟鎹鐞?鐢?12.19,0.77,76.83,0.75,80.56,1,4,
璐㈠姟绠＄悊,濂?30.57,0.97,86.56,0.81,90.38,0,2
宸ュ晢绠＄悊,鐢?26.93,0.63,82.85,0.73,65.44,1,0
璐㈠姟绠＄悊,鐢?11.94,0.95,72.97,0.75,67.49,1,2
鐢靛瓙鍟嗗姟,鐢?11.08,0.87,60.76,0.82,48.2,1,3
宸ュ晢绠＄悊,鐢?13.47,0.97,60.7,0.71,67.46,1,0
宸ュ晢绠＄悊,鐢?15.11,0.98,77.8,0.76,66.57,1,0
澶ф暟鎹鐞?濂?27.83,0.9,84.55,0.96,79.75,0,4,
鐢靛瓙鍟嗗姟,鐢?34.09,0.67,70.7,0.71,60.67,1,3
宸ュ晢绠＄悊,鐢?29.69,0.77,81.24,0.98,86.99,1,0
澶ф暟鎹鐞?鐢?19.97,0.85,76.72,0.77,82.37,1,4,
浜哄伐鏅鸿兘,鐢?17.75,0.74,64.14,0.87,59.44,1,1
璐㈠姟绠＄悊,鐢?14.78,0.82,55.77,0.8,58.2,1,2
浜哄伐鏅鸿兘,鐢?25.22,0.87,50.09,0.78,58.74,1,1
鐢靛瓙鍟嗗姟,濂?25.12,0.63,77.67,0.83,71.64,0,3
璐㈠姟绠＄悊,鐢?18.91,0.86,76.09,0.71,64.38,1,2
璐㈠姟绠＄悊,鐢?20.17,0.99,79.6,0.86,68.87,1,2
璐㈠姟绠＄悊,濂?15.9,0.65,71.58,0.75,76.35,0,2
宸ュ晢绠＄悊,濂?5.0,0.85,65.42,0.92,40.42,0,0
鐢靛瓙鍟嗗姟,鐢?17.8,0.93,87.06,0.83,82.98,1,3
鐢靛瓙鍟嗗姟,濂?13.07,0.78,87.99,0.87,77.78,0,3
宸ュ晢绠＄悊,濂?19.01,0.63,79.74,0.9,85.74,0,0
浜哄伐鏅鸿兘,濂?30.32,0.96,82.22,0.73,80.02,0,1
浜哄伐鏅鸿兘,濂?15.01,0.65,51.8,0.8,52.01,0,1
浜哄伐鏅鸿兘,鐢?12.09,0.64,55.06,0.8,48.06,1,1
宸ュ晢绠＄悊,鐢?14.16,0.7,100,0.92,84.38,1,0
璐㈠姟绠＄悊,濂?11.06,0.7,69.62,0.83,57,0,2
宸ュ晢绠＄悊,鐢?22.6,0.64,82.96,0.89,67.1,1,0
浜哄伐鏅鸿兘,濂?30.7,0.99,64.04,0.84,69.7,0,1
浜哄伐鏅鸿兘,鐢?33.35,0.91,71.73,0.95,74.12,1,1
浜哄伐鏅鸿兘,鐢?19.32,0.67,51.28,0.99,52.15,1,1
璐㈠姟绠＄悊,鐢?8.66,0.98,36.58,0.71,48.7,1,2
浜哄伐鏅鸿兘,鐢?35.26,0.93,55.98,0.81,70.41,1,1
浜哄伐鏅鸿兘,濂?7.93,0.78,69.78,0.95,69.85,0,1
璐㈠姟绠＄悊,鐢?18.54,0.76,100,0.85,84.74,1,2
浜哄伐鏅鸿兘,濂?30.76,0.61,83.53,0.87,71.05,0,1
璐㈠姟绠＄悊,濂?15.33,0.86,79.38,0.83,54.66,0,2
澶ф暟鎹鐞?鐢?20.86,0.99,75.73,0.7,65.31,1,4,
浜哄伐鏅鸿兘,鐢?17.49,0.85,100,0.96,92.18,1,1
璐㈠姟绠＄悊,濂?20.86,0.67,84.3,0.86,81.37,0,2
浜哄伐鏅鸿兘,濂?28.27,0.63,73.44,0.84,79.96,0,1
鐢靛瓙鍟嗗姟,鐢?6.49,0.6,52.46,0.85,59.17,1,3
璐㈠姟绠＄悊,濂?16.94,0.88,62.88,0.77,73.79,0,2
澶ф暟鎹鐞?濂?9.91,0.93,87.44,0.85,79.02,0,4,
鐢靛瓙鍟嗗姟,濂?25.89,0.84,76.1,0.93,90.95,0,3
宸ュ晢绠＄悊,濂?5.76,0.77,42.76,0.86,51.41,0,0
浜哄伐鏅鸿兘,濂?26.2,0.97,57.42,0.81,82.42,0,1
璐㈠姟绠＄悊,濂?10.0,0.78,59.66,0.7,51.45,0,2
宸ュ晢绠＄悊,鐢?25.78,0.81,58.25,0.84,61.94,1,0
澶ф暟鎹鐞?鐢?12.66,0.84,77.64,0.83,68.63,1,4,
鐢靛瓙鍟嗗姟,鐢?16.42,0.99,53.82,0.99,64.54,1,3
浜哄伐鏅鸿兘,鐢?28.92,0.83,79.36,0.75,75.67,1,1
鐢靛瓙鍟嗗姟,鐢?14.94,0.85,83.65,0.95,80.81,1,3
浜哄伐鏅鸿兘,鐢?11.7,0.8,64.83,0.89,62.79,1,1
宸ュ晢绠＄悊,濂?17.94,0.86,67.71,0.74,61.77,0,0
澶ф暟鎹鐞?濂?17.72,0.87,85.1,0.85,73.82,0,4,
澶ф暟鎹鐞?濂?26.7,0.61,76.91,0.7,80.43,0,4,
鐢靛瓙鍟嗗姟,鐢?25.74,0.9,55.42,0.97,71.12,1,3
宸ュ晢绠＄悊,濂?17.88,0.81,60.96,0.73,48.86,0,0
鐢靛瓙鍟嗗姟,鐢?25.82,0.65,72.86,0.72,81.11,1,3
璐㈠姟绠＄悊,濂?18.57,0.98,74.88,0.86,77.89,0,2
浜哄伐鏅鸿兘,鐢?19.33,0.83,73.96,0.7,74.8,1,1
宸ュ晢绠＄悊,濂?17.09,0.92,77.46,0.7,79.28,0,0
鐢靛瓙鍟嗗姟,濂?12.95,0.67,76.3,0.76,74.65,0,3
浜哄伐鏅鸿兘,濂?5.0,0.91,84.73,0.87,62.82,0,1
浜哄伐鏅鸿兘,鐢?36.92,0.82,79.12,0.99,78.33,1,1
澶ф暟鎹鐞?濂?10.62,0.65,100,0.85,99.15,0,4,
宸ュ晢绠＄悊,鐢?17.47,0.97,53.48,0.91,57.83,1,0
澶ф暟鎹鐞?濂?29.33,0.64,65.22,0.74,70.71,0,4,
璐㈠姟绠＄悊,鐢?25.62,0.65,55.2,0.86,75.09,1,2
鐢靛瓙鍟嗗姟,鐢?18.93,0.88,78.95,0.81,70.75,1,3
鐢靛瓙鍟嗗姟,濂?5.53,0.66,70.72,0.87,57.62,0,3
璐㈠姟绠＄悊,濂?18.73,0.76,88.77,0.9,86.24,0,2
浜哄伐鏅鸿兘,濂?7.6,0.61,61.26,0.71,56.13,0,1
浜哄伐鏅鸿兘,濂?30.38,0.65,93.82,0.9,88.72,0,1
宸ュ晢绠＄悊,濂?20.94,0.62,42.76,0.97,54.93,0,0
宸ュ晢绠＄悊,濂?13.99,0.77,67.11,0.88,60.82,0,0
璐㈠姟绠＄悊,鐢?23.44,0.79,65.05,0.92,67.45,1,2
澶ф暟鎹鐞?濂?14.32,0.64,82.89,0.71,79.04,0,4,
璐㈠姟绠＄悊,鐢?20.45,0.84,63.1,0.98,66.68,1,2
鐢靛瓙鍟嗗姟,鐢?21.85,0.74,89.51,0.75,81.37,1,3
澶ф暟鎹鐞?鐢?23.59,0.76,90.8,0.98,75.77,1,4,
澶ф暟鎹鐞?鐢?34.52,0.72,100,0.81,100,1,4,
澶ф暟鎹鐞?鐢?16.09,0.8,70.53,0.88,71.24,1,4,
鐢靛瓙鍟嗗姟,濂?27.85,0.88,64.94,0.91,75.75,0,3
澶ф暟鎹鐞?濂?20.93,0.78,39.06,0.98,63.63,0,4,
宸ュ晢绠＄悊,濂?16.46,0.89,81.63,0.74,69.53,0,0
宸ュ晢绠＄悊,濂?13.04,0.96,100,0.88,94.54,0,0
浜哄伐鏅鸿兘,濂?18.7,0.98,56.72,0.84,52.59,0,1
澶ф暟鎹鐞?濂?17.97,0.96,92.76,0.78,76.49,0,4,
浜哄伐鏅鸿兘,濂?28.61,0.83,70.98,0.86,69.51,0,1
鐢靛瓙鍟嗗姟,濂?9.31,0.78,59.96,0.84,41.88,0,3
璐㈠姟绠＄悊,濂?17.93,0.72,73.82,0.92,66.11,0,2
璐㈠姟绠＄悊,濂?21.57,0.78,69.29,0.88,70.03,0,2
浜哄伐鏅鸿兘,濂?30.06,0.95,74.35,0.84,71.39,0,1
鐢靛瓙鍟嗗姟,濂?23.1,0.67,72.23,0.78,59.97,0,3
浜哄伐鏅鸿兘,濂?24.38,0.78,52.88,0.76,61.96,0,1
鐢靛瓙鍟嗗姟,鐢?23.5,0.87,72.87,0.8,72.69,1,3
璐㈠姟绠＄悊,濂?27.99,0.87,72.21,0.91,74.83,0,2
鐢靛瓙鍟嗗姟,濂?21.04,0.63,70.54,0.88,58.47,0,3
浜哄伐鏅鸿兘,濂?11.68,0.67,80.89,0.83,65.21,0,1
澶ф暟鎹鐞?濂?15.31,0.67,65.93,0.97,59.59,0,4,
澶ф暟鎹鐞?鐢?19.59,0.9,72.2,0.75,71.27,1,4,
宸ュ晢绠＄悊,濂?6.47,0.91,69.63,0.94,60.6,0,0
鐢靛瓙鍟嗗姟,鐢?8.66,0.74,89.19,0.83,72.02,1,3
浜哄伐鏅鸿兘,濂?7.87,0.69,89.63,0.95,64.63,0,1
璐㈠姟绠＄悊,鐢?13.47,0.64,61.82,0.76,46.63,1,2
宸ュ晢绠＄悊,鐢?7.49,0.82,76,0.78,70.89,1,0
璐㈠姟绠＄悊,鐢?20.68,0.61,65.72,0.87,71.48,1,2
宸ュ晢绠＄悊,鐢?26.35,0.7,46.06,0.94,57.83,1,0
鐢靛瓙鍟嗗姟,濂?20.35,0.62,52.14,0.86,58.6,0,3
璐㈠姟绠＄悊,鐢?19.05,0.83,62.81,0.76,61.1,1,2
鐢靛瓙鍟嗗姟,濂?35.44,0.89,60.02,0.81,80.22,0,3
浜哄伐鏅鸿兘,鐢?14.6,0.91,82.36,0.91,74.14,1,1
浜哄伐鏅鸿兘,濂?27.82,0.77,58.99,0.76,62.72,0,1
浜哄伐鏅鸿兘,鐢?34.7,0.66,88.52,0.92,91.55,1,1
鐢靛瓙鍟嗗姟,濂?10.96,0.68,69.57,0.96,57.87,0,3
澶ф暟鎹鐞?濂?20.34,0.82,64.15,0.71,66.49,0,4,
鐢靛瓙鍟嗗姟,濂?18.48,0.62,77.91,0.96,63.28,0,3
浜哄伐鏅鸿兘,濂?13.29,0.73,90.56,0.75,79.83,0,1
澶ф暟鎹鐞?濂?14.65,0.69,53.34,0.77,62.87,0,4,
璐㈠姟绠＄悊,濂?8.32,0.96,67.27,0.87,53.46,0,2
浜哄伐鏅鸿兘,濂?15.96,0.62,58.05,0.74,45.27,0,1
澶ф暟鎹鐞?濂?10.26,0.62,72.27,1,68.11,0,4,
浜哄伐鏅鸿兘,鐢?30.77,0.85,63.56,1,88.24,1,1
澶ф暟鎹鐞?濂?29.36,0.72,68.51,0.96,80.41,0,4,
澶ф暟鎹鐞?濂?25.01,0.91,46.39,0.91,61.38,0,4,
璐㈠姟绠＄悊,鐢?8.78,0.65,87.14,0.89,63.17,1,2
澶ф暟鎹鐞?鐢?40.0,0.83,62.5,0.75,67.64,1,4,
璐㈠姟绠＄悊,鐢?15.36,0.77,83.35,0.87,80.04,1,2
宸ュ晢绠＄悊,濂?30.86,0.65,81.69,0.79,84.13,0,0
璐㈠姟绠＄悊,濂?13.27,0.79,84.19,0.9,68.62,0,2
宸ュ晢绠＄悊,鐢?29.73,0.64,81.26,0.94,77.47,1,0
澶ф暟鎹鐞?濂?19.98,0.62,69.97,0.95,68.99,0,4,
浜哄伐鏅鸿兘,濂?24.35,0.94,71.14,0.97,90.11,0,1
澶ф暟鎹鐞?鐢?33.49,0.98,100,0.81,93.99,1,4,
澶ф暟鎹鐞?濂?21.46,0.7,72.15,0.94,63.71,0,4,
澶ф暟鎹鐞?鐢?17.92,0.77,97.66,0.82,72.66,1,4,
宸ュ晢绠＄悊,鐢?28.74,0.99,83.94,0.97,79.29,1,0
澶ф暟鎹鐞?濂?22.45,0.62,84.86,0.82,85.12,0,4,
浜哄伐鏅鸿兘,濂?11.84,0.6,58.8,0.88,61.99,0,1
鐢靛瓙鍟嗗姟,鐢?18.95,0.67,95.42,0.91,78.12,1,3
璐㈠姟绠＄悊,濂?15.78,0.79,65.28,0.88,40.97,0,2
澶ф暟鎹鐞?濂?12.31,0.61,94.91,0.88,69.91,0,4,
璐㈠姟绠＄悊,鐢?14.4,0.68,82.97,0.88,74.96,1,2
鐢靛瓙鍟嗗姟,鐢?26.19,0.79,88.97,0.82,84.33,1,3
鐢靛瓙鍟嗗姟,濂?19.85,0.91,62.84,0.81,69.84,0,3
璐㈠姟绠＄悊,鐢?9.04,0.71,64.47,0.8,47.11,1,2
浜哄伐鏅鸿兘,鐢?20.42,0.65,73.96,0.72,69.07,1,1
璐㈠姟绠＄悊,鐢?25.19,0.84,90.22,0.81,75.21,1,2
宸ュ晢绠＄悊,鐢?14.72,0.62,63.61,0.97,63,1,0
澶ф暟鎹鐞?濂?12.33,0.62,100,0.83,75,0,4,
璐㈠姟绠＄悊,鐢?11.18,0.87,69.57,0.88,76.16,1,2
宸ュ晢绠＄悊,鐢?23.22,0.92,64.28,0.71,70.93,1,0
璐㈠姟绠＄悊,濂?5.17,0.83,60.95,0.72,54.92,0,2
璐㈠姟绠＄悊,鐢?23.16,0.8,58.89,0.73,74.68,1,2
澶ф暟鎹鐞?濂?13.62,0.96,83.71,0.9,73.24,0,4,
璐㈠姟绠＄悊,鐢?5.51,0.84,63.27,0.81,45.72,1,2
鐢靛瓙鍟嗗姟,濂?10.76,0.61,49.5,0.85,61.37,0,3
璐㈠姟绠＄悊,濂?8.36,0.88,53.67,1,61.53,0,2
宸ュ晢绠＄悊,鐢?20.6,0.79,86.92,0.95,77.45,1,0
澶ф暟鎹鐞?濂?28.05,0.72,84.86,0.99,77.34,0,4,
